Issue key	Issue id	Issue Type	Assignee	Status	Sprint	Requirement	Summary	Acceptance Scenario ID	Acceptance Scenario	Automated?	<eol>
CEN-1686	131730	Story	cdyess	Backlog	CEN Sprint 9	10.10.20	Admin Portal - Auth User accesses Applicant Management				<eol>
								10.10.20.1686.a	"Scenario: Applicant Management Link navigates to Applicant Management report
Given I am in the Admin Portal
And I see the Applicant Management link
When I press the Applicant Management link
Then the system will take me to the Applicant Management Report
And the system will display a Kendo grid with up to 10,000 applicants with incomplete application/Assessments
And the grid will show a summary of items shown
i.e ""1-25 of 10,000 items"""		<eol>
								10.10.20.1686.b	"Scenario: Alert when applicant management report shows less than the total number applicants with incomplete applications/assessments
Given I am in the Admin Portal
And I see the Applicant Management link
And there are more than 10,000 applicants with incomplete applications/assessments
When I press the Applicant Management link
Then the system will take me to the Applicant Management Report
And the system will display a Kendo grid with up to 10,000 applicants with incomplete application/Assessments
And the system will display an alert , ""There are more than 10,000 records of applicants with incomplete applications/assessments, please refine your search to find the information needed."""		<eol>
								10.10.20.1686.c	"Scenario: Ability to select another page of results on report of applicants with incomplete application/assessments
Given I am on the Applicant Management report
And there are more than 25 records to display
When I press a page number on the grid
Then the system will show the results on the page I selected"		<eol>
								10.10.20.1686.d	"Scenario: Ability to go to next page of results on report of applicants with incomplete application/assessments
Given I am on the Applicant Management report
And there are more than 25 records to display
When I press the right arrow button on the grid
Then the system will show the next page of results"		<eol>
								10.10.20.1686.e	"Scenario: Ability to go to previous page of results on report of applicants with incomplete application/assessments
Given I am on the Applicant Management report
And there are more than 25 records to display
And I have cycled to page 2 or higher of results
When I press the left arrow button on the grid
Then the system will show the previous page of results"		<eol>
								10.10.20.1686.f	"Scenario: Ability to go to last page of results on report of applicants with incomplete application/assessments
Given I am on the Applicant Management report
And there are more than 25 records to display
When I press the last page button on the grid
Then the system will show the last page of results"		<eol>
								10.10.20.1686.g	"Scenario: Ability to go to first page of results on report of applicants with incomplete application/assessments
Given I am on the Applicant Management report
And there are more than 25 records to display
And I have cycled to page 2 or higher of results
When I press the first page button on the grid
Then the system will show the first page of results"		<eol>
CEN-1688	131750	Story	cdyess	Backlog	CEN Sprint 9		Admin Portal - Sort and Filter Incomplete Applicant Report				<eol>
								10.10.20.1688.a	"Scenario: Columns offered in the Applicant Management Kendo Grid
Given I am on the Applicant Management Report
When I verify the columns in the grid
Then the grid will show:
Full Name
City
State
Zip
Applicant Profile Status
Activity Data
Email
Last Access Date"		<eol>
								10.10.20.1688.b	"Scenario: Applicant Management report may be filtered by Full Name Column
Given I am on the Applicant Management Report
When I press the Full Name column header
Then the system will sort the report results by Full Name"		<eol>
								10.10.20.1688.c	"Scenario: Applicant Management report may be filtered by City Column
Given I am on the Applicant Management Report
When I press the City column header
Then the system will sort the report results by City"		<eol>
								10.10.20.1688.d	"Scenario: Applicant Management report may be filtered by State Column
Given I am on the Applicant Management Report
When I press the State column header
Then the system will sort the report results by State"		<eol>
								10.10.20.1688.e	"Scenario: Applicant Management report may be filtered by Zip Code Column
Given I am on the Applicant Management Report
When I press the Zip Code column header
Then the system will sort the report results by Zip Code"		<eol>
								10.10.20.1688.f	"Scenario: Applicant Management report may be filtered by Applicant Profile Status Column
Given I am on the Applicant Management Report
When I press the Applicant Profile Status column header
Then the system will sort the report results by Applicant Profile Status"		<eol>
								10.10.20.1688.g	"Scenario: Applicant Management report may be filtered by Activity Data Column
Given I am on the Applicant Management Report
When I press the Activity Data column header
Then the system will sort the report results by Activity Data"		<eol>
