Issue key	Issue id	Issue Type	Assignee	Status	Sprint	Requirement	Requirement2	Requirement3	Requirement4	Summary	
CEN-1686	131730	Story	cdyess	Backlog	CEN Sprint 9	10.10.20				Admin Portal - Auth User accesses Applicant Management	
CEN-1688	131750	Story	cdyess	Backlog	CEN Sprint 9	10.10.20				Admin Portal - Sort and Filter Incomplete Applicant Report	
CEN-1687	131746	Story	cdyess	Backlog	CEN Sprint 9	10.10.20				Admin Portal - Search Incomplete Applicant Report	
CEN-1622	129783	Story	mburnett	Closed	CEN Sprint 7	10.10.20				Design Email auditing (save all emails sent) (3)	
CEN-1689	131756	Story	cdyess	Backlog	CEN Sprint 9	10.10.20				Admin Portal - Incomplete applicant name on report is link to download PDF of incomplete application	
CEN-54	122855	Story	jmoore	Closed	CEN Sprint 7	10.20.100	10.20.110			Applicant Portal provides access to Application Statuses prior to DAPPS status return	
CEN-1447	125910	Story	jvega	Closed	CEN Sprint 6	10.20.140				"Develop form: ""Record of Employee Address""  (CD-415)"	
CEN-1450	125913	Story		Closed	CEN Sprint 6	10.20.140				Develop wireframe for form: SF-85 Questionnaire for Non-Sensitive Position	
CEN-1448	125911	Story	mpatel	Closed	CEN Sprint 6	10.20.140				"Develop form:  FLD-168 ""New Employee Data""  - English"	
CEN-1380	124184	Story	cdyess	Closed	CEN Sprint 7	10.20.140				Onboarding - Save/Print PDF Version of BC-170D	
CEN-1385	124189	Story	cdyess	Awaiting QA	CEN Sprint 8	10.20.140				Onboarding - Save/Print PDF Version of SF-85	
CEN-97	122898	Story	mpatel	Closed	CEN Sprint 7	10.20.150				Application - Under 18 warning message	
CEN-13	122814	Story	mpatel	Closed	CEN Sprint 7	10.20.50				User Views Career Site	
CEN-1714	138265	Story	dsanchez	Awaiting QA	CEN Sprint 8	10.20.50				Show Informational Links on Applicant Portal	
CEN-1673	131608	Story	mpatel	Closed	CEN Sprint 8	10.20.60				Registration - Log Out of Applicant Portal 	
CEN-68	122869	Story		Closed	CEN Sprint 7	10.20.60				Applicant Portal provides candidate with access to logout	
CEN-26	122827	Story	croberson	Closed	CEN Sprint 7	10.20.60				Registration - CSOD - User can reset their password before login	
CEN-22	122823	Story	mpatel	Closed	CEN Sprint 7	10.20.60				Registration(CSOD) - Candidate Logs into Applicant Portal	
CEN-19	122820	Story	mpatel	Closed	CEN Sprint 7	10.20.60				User/Prospective Candidate Chooses to Login or Register	
CEN-1679	131615	Story	rbeery	Awaiting QA	CEN Sprint 8	10.20.60				Register - Do not allow anyone to login to our system from our login screen 	
CEN-1656	131391	Story	mpatel	Closed	CEN Sprint 7	10.20.60.1				Registration - Build infrastructure to save applicant related authorization and authentication information	
CEN-1662	131594	Story	mpatel	Closed	CEN Sprint 7	10.20.60.1				Registration: Create Email Notifications Infrastructure	
CEN-1621	129782	Story	mpatel	Closed	CEN Sprint 7	10.20.60.1				Change email provider (1)	
CEN-1667	131599	Story	mpatel	Closed	CEN Sprint 8	10.20.60.1				Registration - Handle CSOD redirection to landing page for login 	
CEN-1678	131614	Story	rbeery	Awaiting QA	CEN Sprint 8	10.20.60.1				Register - Do not allow anyone to register from our registration 	
CEN-1623	129784	Story	dsanchez	Awaiting QA	CEN Sprint 8	10.20.60.1				Email auditing (save all emails sent) (3)	
CEN-1096	123900	Story	mpatel	Closed	CEN Sprint 7	10.20.80				Application - Candidate enters language and transportation info (Sections C-E/Page 8)	
CEN-1086	123890	Story	mpatel	Closed	CEN Sprint 6	10.20.80				Application - Candidate enters federal employment info (Section B/Page 5)	
CEN-1612	129747	Story	msherburne	Closed	CEN Sprint 7	10.20.80				Application - User Interface Hardening	
CEN-105	122906	Story	mpatel	Closed	CEN Sprint 7	10.20.80				Application - Electronic Signature	
CEN-1091	123895	Story	mpatel	Closed	CEN Sprint 6	10.20.80				"Application - Candidate enters previous work experience info (Section C, Page 6-7)"	
CEN-43	122844	Story	michaelsherburne	Closed		10.20.80				Applicant Portal provides access to start application process	
CEN-1060	123864	Story	michaelsherburne	Closed		10.20.80				Candidate sees Application Introduction	
CEN-116	122917	Story	mpatel	Closed	CEN Sprint 7	10.30.10				Registration - Password/Account Validation	
CEN-110	122911	Story	mpatel	Closed	CEN Sprint 7	10.30.10				Registration - Required Fields	
CEN-141	122942	Story	mpatel	Closed	CEN Sprint 7	10.30.20				Cornerstone - Registration Page Email fields Validate Email	
CEN-1670	131602	Story	rbeery	In Dev	CEN Sprint 8	10.30.30				Registration - Determine OU to Authorization Mapping	
CEN-143	122944	Story		Closed	CEN Sprint 7	10.30.30				Registration - Verification Email Link Directs Prospective Candidate to Candidate Verification Login	
CEN-81	122882	Story	jmoore	Awaiting QA	CEN Sprint 8	10.30.30				Registration - Handle Expired email verification 	
CEN-155	122956	Story	jmoore	Closed	CEN Sprint 7	10.30.40	10.40.180			Application - Update after submission	
CEN-157	122958	Story	mpatel	Closed	CEN Sprint 6	10.40.10				Application enables candidate to apply for multiple positions (Section B/Page 4)	
CEN-193	122995	Story	jmoore	Closed	CEN Sprint 7	10.40.118				Application captures Veteran's preference for candidates (Section A/Page 3)	
CEN-232	123034	Story		Closed		10.40.130				Candidate sees Privacy Act and Public Burden statements (Intro Page)	
CEN-224	123026	Story	dsanchez	Closed	CEN Sprint 6	10.40.140				"Application - Candidate indicates race, origin and disability status (Section F-G/Page 9)"	
CEN-1118	123922	Story	stephaniehigh	Closed		10.40.150				100 : Candidate saves incomplete application	
CEN-1117	123921	Story	stephaniehigh	Closed		10.40.160				"98 : Candidate accesses incomplete, previously saved application"	
CEN-199	123001	Story		Closed	CEN Sprint 6	10.40.170				Candidate edits application	
CEN-1741	139663	Story		Backlog	CEN Sprint 9	10.40.190				Applicant Status - Email to Applicant on Status Update - DAPPS	
CEN-1410	125379	Story		Backlog	CEN Sprint 9	10.40.190				Applicant Status - Email to Applicant on Status Update - Internal R&A	
CEN-167	122968	Story	mpatel	Closed	CEN Sprint 6	10.40.20				Application allows user to specify interest in Supervisory positions (Section B/Page 4)	
CEN-177	122978	Story	mpatel	Closed	CEN Sprint 7	10.40.40				Application - Candidate specifies how they found out about job and education(Section F-G Page 9)	
CEN-186	122988	Story	mpatel	Closed	CEN Sprint 7	10.40.70				Application - Application provides access to Veteran's preference information (Section A/Page 3)	
CEN-241	123043	Story	jmoore	Closed	CEN Sprint 7	10.40.100	10.40.110	10.40.120	10.40.90	Application - Candidate uploads attachments to application	
CEN-1780	140975	Story	jmoore	Awaiting PO Action	CEN Sprint 8	10.40.983				Application - SSN shown when candidate enters number on application	
CEN-1718	138739	Story	jmoore	Closed	CEN Sprint 7	10.40.985				Application - Dropdowns for Country and State	
CEN-277	123080	Story	dsanchez	Awaiting QA	CEN Sprint 8	10.40.990				Application - Language Fluency Warning Message	
CEN-1697	131918	Story	jmoore	Awaiting PO Action	CEN Sprint 8	10.40.990				"Application - Warning for not selecting ""Field Data Collection"""	
CEN-1698	131920	Story	jmoore	Awaiting PO Action	CEN Sprint 8	10.40.990				Application - Available Hours alerts and functionality	
CEN-279	123082	Story	msherburne	Backlog	CEN Sprint 8	10.40.991				Application - Required Fields	
CEN-1742	139762	Story	jmoore	Awaiting PO Action	CEN Sprint 8	10.40.991				Application - Required Currently Available OR End Date for Employment Fields	
CEN-1743	139807	Story	jmoore	Awaiting PO Action	CEN Sprint 8	10.40.991				Application - Employer Phone number or phone number unknown required	
